id,code,name,unit,is_active,units,category
it_1768655077133_hwnixs,1000015661,SEASONING-SALT-1KG/BAG-BK-R,,1,"[""KG / BAG""]",General
it_1768655077136_dfyx5t,1000017297,SEASONING-TOM YUM SEASONING-10BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077140_kid1mq,1000014700,SUGAR-WHITE-4G/SACHET-1800SACHET/CASE-BK-R,,1,"[""SACHET / CASE""]",General
it_1768655077143_fi7pa5,1000008261,SOFT DRINK-BIB-FUZE TEA-5L/BOX-BK-R,,1,"[""BOX""]",General
it_1768655077146_pmsjj3,1000020441,SOFT DRINK-GRAPE BIB-FANTA-10L/BOX-BK-R,,1,"[""BOX""]",General
it_1768655077149_1dh2vr,1000001116,SOFT DRINK-NO SUGAR BIB-COKE-10L/BOX-BK-R,,1,"[""BOX""]",General
it_1768655077152_4mo95m,1000007074,SOFT DRINK-NO SUGAR BIB-SPRITE-10L/BOX-BK-R,,1,"[""BOX""]",General
it_1768655077155_nfs5hp,1000002858,SOFT DRINK-ORANGE BIB-MINUTE MAID-5L/BOX-BK-R,,1,"[""BOX""]",General
it_1768655077159_vjn7vt,1000006290,SOFT DRINK-ORIGINAL BIB-COKE-20L/BOX-BK-R,,1,"[""BOX""]",General
it_1768655077163_20umy0,1000015651,CHOCOLATE-MALT POWDER-MILO-900G/BAG-BK-R,,1,"[""BAG""]",General
it_1768655077166_omh5n0,1000019768,COFFEE BEAN-BK-250G/BAG-20BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077169_oxhfw3,1000010637,CREAMER-COFFEE MATE-3G/PC-100PC/PACK-BK-R,,1,"[""PC / PACK""]",General
it_1768655077173_z0m2us,1000020671,JUICE-ORANGE SHOGUN-TIPCO-1L/BOX-BK-R,,1,"[""BOX""]",General
it_1768655077177_juj3sy,1000012094,MILK-PLAIN-MEIJI-2L/GAL-BK-R,,1,"[""GAL""]",General
it_1768655077180_txj0dn,1000011281,MILK-POWDER-200G/BAG-BK-R,,1,"[""BAG""]",General
it_1768655077184_nr5nsn,1000000006,SYRUP-MITRPHOL-800ML/BAG-BK-R,,1,"[""BAG""]",General
it_1768655077188_9c7xwt,1000000013,WATER-550ML/BTL-BK-R,,1,"[""BTL""]",General
it_1768655077191_fdxesq,1000039540,BROWNIE-CUBE FROZEN-50G/PC-6PC/BAG-BK-R,,1,"[""BAG""]",General
it_1768655077194_andxop,1000035420,COOKIE-BUTTER-500G/BAG-BK-R,,1,"[""BAG""]",General
it_1768655077202_bk93jf,1000016946,SNACK-OREO VANILLA CREAM-26.25G/BAG-12BAG/BOX-BK-R,,1,"[""BAG / BOX""]",General
it_1768655077206_kpjhvy,1000011064,CONE-DESSERT-120PC/CASE-BK-R,,1,"[""PC / CASE""]",General
it_1768655077209_z41yjr,1000015424,SAUCE-CHOCOLATE FUDGE TNT BK-500G/BAG-BK-R,,1,"[""BAG""]",General
it_1768655077213_9mt56e,1000201307,SAUCE-PINK RASPBERRY FLAVORED RIBBON-0.8KG/BAG-BK-R,,1,"[""BAG""]",General
it_1768655077216_6n8ztz,1000020951,SAUCE-STRAWBERRY TOPPING TNT BK-1KG/BAG-BK-R,,1,"[""BAG""]",General
it_1768655077220_9pft0r,1000014644,SOFT SERVE-POWDER-1.5KG/BAG-10BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077223_s555v8,1000017339,PIE-APPLE FROZEN-65G/PC-24PC/CASE-BK-R,,1,"[""CASE""]",General
it_1768655077227_5cuq16,1000035406,PIE-CHOCO BANANA FROZEN-65G/PC-24PC/CASE-BK-R,,1,"[""CASE""]",General
it_1768655077230_ds720h,1000012757,PIE-CHOCOLATE (HERSHEYS COCOA) FROZEN-75G/PC-24PC/CASE-BK-R,,1,"[""CASE""]",General
it_1768655077234_1d2vsv,1000037536,PIE-ORANGE CARAMEL FROZEN-65G/PC-24PC/CASE-BK-R,,1,"[""CASE""]",General
it_1768655077237_687x06,1000010633,PIE-STRAWBERRY CREAM CHEESE FROZEN-75G/PC-24PC/CASE-BK-R,,1,"[""CASE""]",General
it_1768655077241_cuez0w,1000017104,PIE-TARO AND CORN FROZEN-65G/PC-24PC/CASE-BK-R,,1,"[""CASE""]",General
it_1768655077245_u87y0c,2000000992,PACKAGING-SHOPPING BAG L 12X20 INCH (RE80+B120)-100PC/PACK-BK-R,,1,"[""PACK""]",General
it_1768655077248_o4e6sa,2000014157,"PACKAGING-SHOPPING BAG M 9X18"" (RE80+B120)-100PC/PACK-BK-R",,1,"[""PACK""]",General
it_1768655077252_z4awdc,2000011048,PACKAGING-SOS# 4 BAG (IMPORTED)-CASE-BK-R,,1,"[""PACK""]",General
it_1768655077256_q62ku1,2000020375,PACKAGING-SOS#6 BAG (IMPORTED)-CASE-BK-R,,1,"[""PACK""]",General
it_1768655077260_b5gxum,2000009465,PACKAGING-TAKE AWAY BAG FOR DRINKS (RE80+B120)-100PC/PACK-BK-R,,1,"[""PACK""]",General
it_1768655077263_lc2363,2000013315,PACKAGING-TAKEAWAY BAG FOR DRINKS (BIO)-100PC/PACK-BK-R,,1,"[""PACK""]",General
it_1768655077268_0d4kyj,2000004955,PACKAGING-BK LOGO CUP 540ML-50PC/PACK-BK-R,,1,"[""PCS / PACK""]",General
it_1768655077271_0ixqsr,2000002743,PACKAGING-BK SINGLE BOX SIZE 140 X 140 X H80 MM.-50PC/PACK-BK-R,,1,"[""PCS / PACK / CASE""]",General
it_1768655077275_k2aubj,2000029182,PACKAGING-HIYW APPLE PIE CARTON-200 PCS/PACK-BK-R,,1,"[""PCS / PACK""]",General
it_1768655077278_0s8gkt,2000029184,PACKAGING-HIYW LTO PIE CARTON-200 PCS/PACK-BK-R,,1,"[""PCS / PACK""]",General
it_1768655077283_magmeb,2000011850,PACKAGING-HIYW MULTI PURPOSE-900PC/CASE-BK-R,,1,"[""PCS / PACK / CASE""]",General
it_1768655077286_isjkjo,2000029183,PACKAGING-HIYW TARO AND CORN PIE CARTON-200 PCS/PACK-BK-R,,1,"[""PCS / PACK""]",General
it_1768655077290_ynrbvc,2000012178,PACKAGING-BK CHICKEN BUCKET LID-50PC/PACK-BK-R,,1,"[""PC / PACK""]",General
it_1768655077294_1jrg04,2000013833,PACKAGING-BK PLASTIC CUP 16OZ-1000PC/CASE-BK-R,,1,"[""PC / CASE""]",General
it_1768655077298_fh06wl,2000002592,PACKAGING-BK PLASTIC CUP 8OZ-50PC/PACK-BK-R,,1,"[""PC / PACK""]",General
it_1768655077303_9rwxmn,2000015455,PACKAGING-BK PLASTIC LID 8 OZ W/O HOLE-50PC/PACK-BK-R,,1,"[""PC / PACK""]",General
it_1768655077306_nmvsgn,2000018075,PACKAGING-HIYW PAPER COLD CUP 12OZ-2000PC/CASE-BK-R,,1,"[""PACK / CASE""]",General
it_1768655077310_49irzw,2000001935,PACKAGING-HIYW PAPER COLD CUP 16OZ-1000PC/CASE-BK-R,,1,"[""PACK / CASE""]",General
it_1768655077314_fsswe1,2000007825,PACKAGING-HIYW PAPER COLD CUP 32 OZ (600PCS)-600PC/CASE-BK-R,,1,"[""PACK / CASE""]",General
it_1768655077318_876py5,2000002805,PACKAGING-HIYW PLASTIC LIDS FOR COLD CUP 12OZ (1000PCS)-1000PC/CASE-BK-R,,1,"[""PACK / CASE""]",General
it_1768655077321_0ddjlx,2000000895,PACKAGING-HIYW PLASTIC LIDS FOR COLD CUP 32OZ (PLAIN)-50PC/PACK-BK-R,,1,"[""PACK / CASE""]",General
it_1768655077325_muylnz,2000021490,PACKAGING-HIYW PLASTIC LIDS FOR COLD CUP 32OZ-500PC/CASE-BK-R,,1,"[""/PACK / CASE""]",General
it_1768655077328_6q734z,2000010076,PACKAGING-PAPER CUP 6OZ (PLAIN)-2000PC/CASE-BK-R,,1,"[""/PACK / CASE""]",General
