id,target_date,target_sales,created_at,updated_at,target_tc,waste_raw_daily,waste_meal_daily,store_id
24,2025-12-24,130000,2025-12-31T14:43:26.117Z,2025-12-31T21:41:05.160Z,300,0,0,BK1040
25,2025-12-25,130000,2025-12-31T14:43:26.120Z,2025-12-31T21:41:05.163Z,300,0,0,BK1040
26,2025-12-26,130000,2025-12-31T14:43:26.124Z,2025-12-31T21:41:05.165Z,300,0,0,BK1040
27,2025-12-27,130000,2025-12-31T14:43:26.131Z,2025-12-31T21:41:05.168Z,300,0,0,BK1040
28,2025-12-28,130000,2025-12-31T14:43:26.133Z,2025-12-31T21:41:05.170Z,300,0,0,BK1040
29,2025-12-29,130000,2025-12-31T14:43:26.137Z,2025-12-31T21:41:05.176Z,300,0,0,BK1040
30,2025-12-30,130000,2025-12-31T14:43:26.140Z,2025-12-31T21:41:05.178Z,300,0,0,BK1040
31,2025-12-31,130000,2025-12-31T14:43:26.145Z,2025-12-31T21:41:05.181Z,300,0,0,BK1040
32,2026-01-01,100000,2025-12-31T21:41:11.331Z,2026-01-21T20:49:49.753Z,300,0,0,BK1040
33,2026-01-02,100000,2025-12-31T21:41:11.335Z,2026-01-21T20:49:49.756Z,300,0,0,BK1040
34,2026-01-03,100000,2025-12-31T21:41:11.339Z,2026-01-21T20:49:49.760Z,300,0,0,BK1040
35,2026-01-04,100000,2025-12-31T21:41:11.342Z,2026-01-21T20:49:49.763Z,300,0,0,BK1040
36,2026-01-05,100000,2025-12-31T21:41:11.346Z,2026-01-21T20:49:49.768Z,300,0,0,BK1040
37,2026-01-06,100000,2025-12-31T21:41:11.349Z,2026-01-21T20:49:49.772Z,300,0,0,BK1040
38,2026-01-07,110000,2025-12-31T21:41:11.352Z,2026-01-21T20:49:49.777Z,300,0,0,BK1040
39,2026-01-08,110000,2025-12-31T21:41:11.355Z,2026-01-21T20:49:49.781Z,300,0,0,BK1040
40,2026-01-09,110000,2025-12-31T21:41:11.358Z,2026-01-21T20:49:49.786Z,300,0,0,BK1040
41,2026-01-10,110000,2025-12-31T21:41:11.362Z,2026-01-21T20:49:49.790Z,300,0,0,BK1040
42,2026-01-11,110000,2025-12-31T21:41:11.365Z,2026-01-21T20:49:49.794Z,300,0,0,BK1040
43,2026-01-12,110000,2025-12-31T21:41:11.368Z,2026-01-21T20:49:49.798Z,300,0,0,BK1040
44,2026-01-13,110000,2025-12-31T21:41:11.371Z,2026-01-21T20:49:49.804Z,300,0,0,BK1040
45,2026-01-14,110000,2025-12-31T21:41:11.374Z,2026-01-21T20:49:49.807Z,300,0,0,BK1040
46,2026-01-15,110000,2025-12-31T21:41:11.378Z,2026-01-21T20:49:49.811Z,300,0,0,BK1040
47,2026-01-16,110000,2025-12-31T21:41:11.382Z,2026-01-21T20:49:49.815Z,300,0,0,BK1040
48,2026-01-17,110000,2025-12-31T21:41:11.385Z,2026-01-21T20:49:49.819Z,300,0,0,BK1040
49,2026-01-18,110000,2025-12-31T21:41:11.388Z,2026-01-21T20:49:49.823Z,300,0,0,BK1040
50,2026-01-19,110000,2025-12-31T21:41:11.391Z,2026-01-21T20:49:49.827Z,300,0,0,BK1040
51,2026-01-20,110000,2025-12-31T21:41:11.393Z,2026-01-21T20:49:49.830Z,300,0,0,BK1040
52,2026-01-21,110000,2025-12-31T21:41:11.396Z,2026-01-21T20:49:49.834Z,300,0,0,BK1040
53,2026-01-22,110000,2025-12-31T21:41:11.399Z,2026-01-21T20:49:49.836Z,300,0,0,BK1040
54,2026-01-23,110000,2025-12-31T21:41:11.401Z,2026-01-21T20:49:49.839Z,300,0,0,BK1040
55,2026-01-24,110000,2025-12-31T21:41:11.404Z,2026-01-21T20:49:49.842Z,300,0,0,BK1040
56,2026-01-25,110000,2025-12-31T21:41:11.407Z,2026-01-21T20:49:49.845Z,300,0,0,BK1040
57,2026-01-26,110000,2025-12-31T21:41:11.409Z,2026-01-21T20:49:49.847Z,300,0,0,BK1040
58,2026-01-27,110000,2025-12-31T21:41:11.412Z,2026-01-21T20:49:49.849Z,300,0,0,BK1040
59,2026-01-28,110000,2025-12-31T21:41:11.415Z,2026-01-21T20:49:49.852Z,300,0,0,BK1040
60,2026-01-29,110000,2025-12-31T21:41:11.421Z,2026-01-21T20:49:49.855Z,300,0,0,BK1040
61,2026-01-30,110000,2025-12-31T21:41:11.424Z,2026-01-21T20:49:49.858Z,300,0,0,BK1040
62,2026-01-31,110000,2025-12-31T21:41:11.427Z,2026-01-21T20:49:49.861Z,300,0,0,BK1040
64,2026-02-02,100000,2026-02-02T20:11:22.168Z,2026-02-26T22:50:47.709Z,300,0,0,BK1040
65,2026-02-03,100000,2026-02-02T20:11:22.174Z,2026-02-26T22:50:47.712Z,300,0,0,BK1040
66,2026-02-04,100000,2026-02-02T20:11:22.180Z,2026-02-26T22:50:47.715Z,300,0,0,BK1040
67,2026-02-05,100000,2026-02-02T20:11:22.186Z,2026-02-26T22:50:47.717Z,300,0,0,BK1040
68,2026-02-06,100000,2026-02-02T20:11:22.190Z,2026-02-26T22:50:47.721Z,300,0,0,BK1040
69,2026-02-07,100000,2026-02-02T20:11:22.196Z,2026-02-26T22:50:47.724Z,300,0,0,BK1040
70,2026-02-08,100000,2026-02-02T20:11:22.202Z,2026-02-26T22:50:47.727Z,300,0,0,BK1040
71,2026-02-09,100000,2026-02-02T20:11:22.207Z,2026-02-26T22:50:47.730Z,300,0,0,BK1040
72,2026-02-10,100000,2026-02-02T20:11:22.212Z,2026-02-26T22:50:47.733Z,300,0,0,BK1040
80,2026-02-18,100000,2026-02-02T20:11:22.253Z,2026-02-26T22:50:47.756Z,300,0,0,BK1040
81,2026-02-19,100000,2026-02-02T20:11:22.259Z,2026-02-26T22:50:47.760Z,300,0,0,BK1040
82,2026-02-20,100000,2026-02-02T20:11:22.264Z,2026-02-26T22:50:47.763Z,300,0,0,BK1040
83,2026-02-21,100000,2026-02-02T20:11:22.270Z,2026-02-26T22:50:47.766Z,300,0,0,BK1040
84,2026-02-22,100000,2026-02-02T20:11:22.276Z,2026-02-26T22:50:47.768Z,300,0,0,BK1040
85,2026-02-23,100000,2026-02-02T20:11:22.281Z,2026-02-26T22:50:47.772Z,300,0,0,BK1040
86,2026-02-24,100000,2026-02-02T20:11:22.288Z,2026-02-26T22:50:47.774Z,300,0,0,BK1040
87,2026-02-25,100000,2026-02-02T20:11:22.293Z,2026-02-26T22:50:47.778Z,300,0,0,BK1040
88,2026-02-26,100000,2026-02-02T20:11:22.299Z,2026-02-26T22:50:47.781Z,300,0,0,BK1040
89,2026-02-27,100000,2026-02-02T20:11:22.304Z,2026-02-26T22:50:47.784Z,300,0,0,BK1040
90,2026-02-28,100000,2026-02-02T20:11:22.310Z,2026-02-26T22:50:47.786Z,300,0,0,BK1040
92,2026-03-01,95000,2026-02-28T21:15:34.917Z,2026-03-17T17:59:31.691Z,300,0,0,BK1040
93,2026-03-02,95000,2026-02-28T21:15:34.933Z,2026-03-17T17:59:31.694Z,300,0,0,BK1040
94,2026-03-03,95000,2026-02-28T21:15:34.937Z,2026-03-17T17:59:31.697Z,300,0,0,BK1040
95,2026-03-04,95000,2026-02-28T21:15:34.941Z,2026-03-17T17:59:31.700Z,300,0,0,BK1040
96,2026-03-05,95000,2026-02-28T21:15:34.944Z,2026-03-17T17:59:31.703Z,300,0,0,BK1040
97,2026-03-06,95000,2026-02-28T21:15:34.948Z,2026-03-17T17:59:31.706Z,300,0,0,BK1040
98,2026-03-07,95000,2026-02-28T21:15:34.951Z,2026-03-17T17:59:31.709Z,300,0,0,BK1040
99,2026-03-08,95000,2026-02-28T21:15:34.955Z,2026-03-17T17:59:31.712Z,300,0,0,BK1040
100,2026-03-09,95000,2026-02-28T21:15:34.959Z,2026-03-17T17:59:31.715Z,300,0,0,BK1040
101,2026-03-10,95000,2026-02-28T21:15:34.962Z,2026-03-17T17:59:31.719Z,300,0,0,BK1040
102,2026-03-11,95000,2026-02-28T21:15:34.965Z,2026-03-17T17:59:31.722Z,300,0,0,BK1040
103,2026-03-12,95000,2026-02-28T21:15:34.969Z,2026-03-17T17:59:31.724Z,300,0,0,BK1040
125,2026-04-03,95000,2026-04-01T20:13:55.728Z,2026-04-14T19:48:13.913Z,300,0,0,BK1040
126,2026-04-04,95000,2026-04-01T20:13:55.731Z,2026-04-14T19:48:13.918Z,300,0,0,BK1040
127,2026-04-05,95000,2026-04-01T20:13:55.735Z,2026-04-14T19:48:13.922Z,300,0,0,BK1040
128,2026-04-06,95000,2026-04-01T20:13:55.737Z,2026-04-14T19:48:13.926Z,300,0,0,BK1040
129,2026-04-07,95000,2026-04-01T20:13:55.741Z,2026-04-14T19:48:13.930Z,300,0,0,BK1040
130,2026-04-08,95000,2026-04-01T20:13:55.744Z,2026-04-14T19:48:13.935Z,300,0,0,BK1040
131,2026-04-09,95000,2026-04-01T20:13:55.748Z,2026-04-14T19:48:13.940Z,300,0,0,BK1040
132,2026-04-10,95000,2026-04-01T20:13:55.751Z,2026-04-14T19:48:13.953Z,300,0,0,BK1040
133,2026-04-11,95000,2026-04-01T20:13:55.754Z,2026-04-14T19:48:13.959Z,300,0,0,BK1040
134,2026-04-12,95000,2026-04-01T20:13:55.757Z,2026-04-14T19:48:13.963Z,300,0,0,BK1040
135,2026-04-13,95000,2026-04-01T20:13:55.768Z,2026-04-14T19:48:13.967Z,300,0,0,BK1040
140,2026-04-18,95000,2026-04-01T20:13:55.783Z,2026-04-19T00:11:00.167Z,300,0,0,BK1040
144,2026-04-22,95000,2026-04-01T20:13:55.797Z,2026-04-14T19:48:13.998Z,300,0,0,BK1040
145,2026-04-23,95000,2026-04-01T20:13:55.800Z,2026-04-14T19:48:14.010Z,300,0,0,BK1040
146,2026-04-24,95000,2026-04-01T20:13:55.803Z,2026-04-14T19:48:14.013Z,300,0,0,BK1040
147,2026-04-25,95000,2026-04-01T20:13:55.807Z,2026-04-14T19:48:14.017Z,300,0,0,BK1040
148,2026-04-26,95000,2026-04-01T20:13:55.810Z,2026-04-14T19:48:14.020Z,300,0,0,BK1040
149,2026-04-27,95000,2026-04-01T20:13:55.813Z,2026-04-14T19:48:14.024Z,300,0,0,BK1040
150,2026-04-28,95000,2026-04-01T20:13:55.817Z,2026-04-14T19:48:14.027Z,300,0,0,BK1040
151,2026-04-29,95000,2026-04-01T20:13:55.820Z,2026-04-14T19:48:14.030Z,300,0,0,BK1040
152,2026-04-30,95000,2026-04-01T20:13:55.823Z,2026-04-14T19:48:14.034Z,300,0,0,BK1040
136,2026-04-14,95000,2026-04-01T20:13:55.771Z,2026-04-14T21:07:06.526Z,300,0,0,BK1040
143,2026-04-21,95000,2026-04-01T20:13:55.794Z,2026-04-21T20:46:30.914Z,300,0,0,BK1040
139,2026-04-17,95000,2026-04-01T20:13:55.780Z,2026-04-17T18:30:49.907Z,300,0,0,BK1040
142,2026-04-20,95000,2026-04-01T20:13:55.791Z,2026-04-20T23:40:18.622Z,300,0,0,BK1040
138,2026-04-16,95000,2026-04-01T20:13:55.777Z,2026-04-17T18:16:02.215Z,300,0,0,BK1040
137,2026-04-15,95000,2026-04-01T20:13:55.774Z,2026-04-15T19:23:49.394Z,300,0,0,BK1040
141,2026-04-19,95000,2026-04-01T20:13:55.788Z,2026-04-20T02:18:35.348Z,300,0,0,BK1040
